{0: 0.37, 1: 0.36, 2: 0.34, 3: 0.31, 4: 0.3, 5: 0.29, 6: 0.29, 7: 0.29, 8: 0.27}
{0: 0.26, 1: 0.26, 2: 0.26, 3: 0.26, 4: 0.27, 5: 0.28, 6: 0.3, 7: 0.31, 8: 0.32}
{0: 0.33, 1: 0.33, 2: 0.34, 3: 0.36, 4: 0.37, 5: 0.38, 6: 0.38, 7: 0.4, 8: 0.4}
{0: 0.42, 1: 0.42, 2: 0.42, 3: 0.42, 4: 0.43, 5: 0.42, 6: 0.42, 7: 0.42, 8: 0.42}
{0: 0.42, 1: 0.42, 2: 0.43, 3: 0.43, 4: 0.43, 5: 0.42, 6: 0.42, 7: 0.41, 8: 0.41}
{0: 0.39, 1: 0.37, 2: 0.36, 3: 0.37, 4: 0.37, 5: 0.38, 6: 0.38, 7: 0.38, 8: 0.39}
{0: 0.41, 1: 0.42, 2: 0.41, 3: 0.41, 4: 0.42, 5: 0.42, 6: 0.42, 7: 0.43, 8: 0.42}
{0: 0.42, 1: 0.43, 2: 0.44, 3: 0.46, 4: 0.46, 5: 0.48, 6: 0.48, 7: 0.48, 8: 0.48}
{0: 0.5, 1: 0.5, 2: 0.51, 3: 0.5, 4: 0.49, 5: 0.49, 6: 0.49, 7: 0.5, 8: 0.5}
{0: 0.5, 1: 0.49, 2: 0.49, 3: 0.48, 4: 0.47, 5: 0.45, 6: 0.44, 7: 0.43, 8: 0.41}
{0: 0.38, 1: 0.36, 2: 0.35, 3: 0.34, 4: 0.33, 5: 0.32, 6: 0.31, 7: 0.29, 8: 0.28}
{0: 0.25, 1: 0.23, 2: 0.24, 3: 0.24, 4: 0.24, 5: 0.23, 6: 0.22, 7: 0.21, 8: 0.19}
{0: 0.14, 1: 0.12, 2: 0.1, 3: 0.09, 4: 0.08, 5: 0.07, 6: 0.07, 7: 0.06, 8: 0.06}
{0: 0.05, 1: 0.04, 2: 0.04, 3: 0.05, 4: 0.06, 5: 0.05, 6: 0.04, 7: 0.04, 8: 0.04}
{0: 0.03, 1: 0.03, 2: 0.02, 3: 0.02, 4: 0.02, 5: 0.02, 6: 0.02, 7: 0.03, 8: 0.04}
{0: 0.06, 1: 0.06, 2: 0.05, 3: 0.04, 4: 0.05, 5: 0.05, 6: 0.05, 7: 0.05, 8: 0.04}
{0: 0.02, 1: 0.02, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.02, 5: 0.03, 6: 0.06, 7: 0.09, 8: 0.11}
{0: 0.12, 1: 0.13, 2: 0.12, 3: 0.11, 4: 0.1, 5: 0.09, 6: 0.09, 7: 0.1, 8: 0.1}
{0: 0.12, 1: 0.13, 2: 0.14, 3: 0.14, 4: 0.14, 5: 0.15, 6: 0.15, 7: 0.16, 8: 0.15}
{0: 0.15, 1: 0.14, 2: 0.13, 3: 0.12, 4: 0.11, 5: 0.09, 6: 0.07, 7: 0.06, 8: 0.05}
{0: 0.01, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
